City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2020-09-15 02:41:45,59.7,30.79,48.99,87,0,6.71
1,Hermanus,ZA,2020-09-15 02:41:46,-34.42,19.23,41.0,94,43,6.49
2,Mogadishu,SO,2020-09-15 02:41:46,2.04,45.34,77.14,87,22,14.2
3,Qaanaaq,GL,2020-09-15 02:41:46,77.48,-69.36,26.49,90,76,6.76
4,Castro,BR,2020-09-15 02:41:46,-24.79,-50.01,59.85,91,91,11.54
5,Vaini,TO,2020-09-15 02:41:47,-21.2,-175.2,77.0,69,40,9.17
6,Severo-Kurilsk,RU,2020-09-15 02:36:51,50.68,156.12,53.49,68,2,14.9
7,Rikitea,PF,2020-09-15 02:41:47,-23.12,-134.97,74.03,83,46,11.61
8,Ramhormoz,IR,2020-09-15 02:41:48,31.28,49.6,84.2,26,0,4.7
9,Carutapera,BR,2020-09-15 02:41:48,-1.2,-46.02,75.63,91,20,5.28
10,Punta Arenas,CL,2020-09-15 02:36:56,-53.15,-70.92,35.6,93,39,20.8
11,Busselton,AU,2020-09-15 02:41:49,-33.65,115.33,71.01,44,0,11.23
12,Pagudpud,PH,2020-09-15 02:41:49,18.56,120.79,91.4,63,75,4.7
13,Dikson,RU,2020-09-15 02:41:49,73.51,80.55,43.79,87,100,14.14
14,Sao Joao Da Barra,BR,2020-09-15 02:41:50,-21.64,-41.05,71.49,82,0,15.01
15,Honningsvag,NO,2020-09-15 02:41:50,70.98,25.97,47.55,80,94,9.69
16,Luderitz,NA,2020-09-15 02:41:50,-26.65,15.16,52.61,78,0,15.3
17,Bad Durkheim,DE,2020-09-15 02:41:50,49.47,8.17,61.0,84,72,0.85
18,Saldanha,ZA,2020-09-15 02:41:51,-33.01,17.94,42.8,81,0,4.7
19,Ushuaia,AR,2020-09-15 02:41:01,-54.8,-68.3,35.6,93,75,20.8
20,San Andres,CO,2020-09-15 02:41:51,12.58,-81.7,82.4,88,75,4.7
21,Mar Del Plata,AR,2020-09-15 02:37:38,-38.0,-57.56,48.0,87,0,4.7
22,Namatanai,PG,2020-09-15 02:41:52,-3.67,152.43,84.25,73,83,9.31
23,Nanortalik,GL,2020-09-15 02:41:52,60.14,-45.24,41.94,77,100,37.11
24,Gat,IL,2020-09-15 02:41:53,31.61,34.76,78.01,100,7,1.01
25,Barkhan,PK,2020-09-15 02:41:53,29.9,69.53,82.8,38,71,7.52
26,Tasiilaq,GL,2020-09-15 02:41:53,65.61,-37.64,22.84,96,32,3.85
27,Kapaa,US,2020-09-15 02:37:27,22.08,-159.32,86.0,58,75,9.17
28,Tuatapere,NZ,2020-09-15 02:41:54,-46.13,167.68,42.01,88,100,8.99
29,Kavieng,PG,2020-09-15 02:41:54,-2.57,150.8,84.09,76,82,12.75
30,Lebu,CL,2020-09-15 02:41:54,-37.62,-73.65,50.47,90,11,18.57
31,Norman Wells,CA,2020-09-15 02:41:55,65.28,-126.83,46.4,61,75,11.41
32,Zhuhai,CN,2020-09-15 02:41:55,22.28,113.57,82.4,88,40,10.29
33,Sobolevo,RU,2020-09-15 02:41:55,54.43,31.9,57.76,95,95,10.69
34,Vardo,NO,2020-09-15 02:41:56,70.37,31.11,47.37,83,100,15.55
35,Karratha,AU,2020-09-15 02:39:13,-20.74,116.85,96.48,14,56,19.46
36,Arlit,NE,2020-09-15 02:41:56,18.74,7.39,92.5,14,0,3.98
37,Hilo,US,2020-09-15 02:40:48,19.73,-155.09,82.4,61,90,8.05
38,Quatre Cocos,MU,2020-09-15 02:41:57,-20.21,57.76,68.0,68,75,13.87
39,Dubti,ET,2020-09-15 02:41:57,11.74,41.09,87.76,44,8,3.44
40,Jamestown,US,2020-09-15 02:41:57,42.1,-79.24,48.2,76,1,4.7
41,Carnarvon,AU,2020-09-15 02:41:40,-24.87,113.63,73.4,83,2,11.41
42,Georgetown,MY,2020-09-15 02:41:58,5.41,100.34,78.8,88,20,2.24
43,Dingtao,CN,2020-09-15 02:41:58,35.07,115.56,78.46,71,17,8.77
44,Port Alfred,ZA,2020-09-15 02:41:59,-33.59,26.89,54.09,72,29,13.62
45,Amlagora,IN,2020-09-15 02:41:59,22.83,87.33,85.24,77,100,5.06
46,Fukue,JP,2020-09-15 02:39:33,32.69,128.84,78.8,69,20,4.7
47,Arraial Do Cabo,BR,2020-09-15 02:41:59,-22.97,-42.03,71.17,84,38,10.85
48,Kruisfontein,ZA,2020-09-15 02:42:00,-34.0,24.73,50.0,72,61,1.01
49,Albany,US,2020-09-15 02:38:57,42.6,-73.97,54.0,55,0,5.66
50,Dedza,MW,2020-09-15 02:42:00,-14.38,34.33,61.34,64,18,4.09
51,Kirensk,RU,2020-09-15 02:42:01,57.79,108.11,54.03,63,77,10.2
52,Kodiak,US,2020-09-15 02:42:01,57.79,-152.41,60.8,59,1,12.75
53,Cape Town,ZA,2020-09-15 02:38:01,-33.93,18.42,42.8,87,6,2.24
54,New Norfolk,AU,2020-09-15 02:42:01,-42.78,147.06,59.0,60,100,5.01
55,Zhigansk,RU,2020-09-15 02:42:02,66.77,123.37,50.94,67,43,13.98
56,Moerai,PF,2020-09-15 02:42:02,-22.43,-151.33,71.01,70,88,9.55
57,Yar-Sale,RU,2020-09-15 02:42:02,66.83,70.83,48.94,83,100,18.72
58,Iqaluit,CA,2020-09-15 02:42:03,63.75,-68.51,37.4,59,75,9.17
59,Escuinapa,MX,2020-09-15 02:42:04,22.85,-105.8,82.4,74,90,6.93
60,Yellowknife,CA,2020-09-15 02:41:32,62.46,-114.35,46.4,52,75,12.75
61,Umea,SE,2020-09-15 02:42:04,63.83,20.26,42.8,81,51,3.36
62,Upernavik,GL,2020-09-15 02:42:05,72.79,-56.15,26.56,80,0,6.82
63,East London,ZA,2020-09-15 02:42:05,-33.02,27.91,56.82,61,2,15.17
64,Bredasdorp,ZA,2020-09-15 02:42:05,-34.53,20.04,41.0,86,70,5.82
65,Saint-Philippe,RE,2020-09-15 02:42:06,-21.36,55.77,60.8,63,20,4.7
66,Manavgat,TR,2020-09-15 02:42:06,36.79,31.44,75.2,83,0,6.93
67,Codrington,AU,2020-09-15 02:42:06,-38.27,141.97,57.33,72,26,8.34
68,Butaritari,KI,2020-09-15 02:42:07,3.07,172.79,84.52,73,25,17.58
69,Jinchang,CN,2020-09-15 02:42:07,38.5,102.17,64.54,26,0,5.7
70,Araouane,ML,2020-09-15 02:42:07,18.9,-3.53,95.97,19,2,7.02
71,Yavatmal,IN,2020-09-15 02:42:08,20.4,78.13,79.97,87,1,6.55
72,Mataura,NZ,2020-09-15 02:42:08,-46.19,168.86,42.01,88,100,8.99
73,Husavik,IS,2020-09-15 02:42:08,66.04,-17.34,35.6,79,0,2.24
74,Rila,BG,2020-09-15 02:42:09,42.13,23.13,64.0,64,16,1.01
75,Saint-Francois,FR,2020-09-15 02:42:09,46.42,3.91,62.6,77,4,3.58
76,Villa Carlos Paz,AR,2020-09-15 02:42:09,-31.42,-64.5,55.99,29,0,14.99
77,Havre-Saint-Pierre,CA,2020-09-15 02:42:09,50.23,-63.6,46.4,70,1,10.29
78,Geraldton,AU,2020-09-15 02:42:10,-28.77,114.6,73.4,56,0,5.82
79,Wilmington,US,2020-09-15 02:42:10,34.23,-77.94,77.0,83,40,10.29
80,Vestmannaeyjar,IS,2020-09-15 02:40:26,63.44,-20.27,48.52,79,12,9.95
81,Tura,IN,2020-09-15 02:42:11,25.52,90.22,78.91,93,99,5.28
82,Ahipara,NZ,2020-09-15 02:42:11,-35.17,173.17,60.39,85,29,17.52
83,Tuktoyaktuk,CA,2020-09-15 02:42:11,69.45,-133.04,32.0,87,75,6.93
84,Provideniya,RU,2020-09-15 02:42:12,64.38,-173.3,50.0,81,75,15.66
85,Hithadhoo,MV,2020-09-15 02:42:12,-0.6,73.08,81.3,67,63,4.38
86,Atuona,PF,2020-09-15 02:42:12,-9.8,-139.03,78.46,72,0,15.99
87,Bedesa,ET,2020-09-15 02:42:13,8.9,40.78,60.57,85,93,5.3
88,Grindavik,IS,2020-09-15 02:42:13,63.84,-22.43,44.6,93,75,5.82
89,Strezhevoy,RU,2020-09-15 02:42:13,60.73,77.59,51.8,76,99,8.95
90,Kaitangata,NZ,2020-09-15 02:42:14,-46.28,169.85,46.0,60,100,13.0
91,Quebo,GW,2020-09-15 02:42:14,11.33,-14.93,75.22,96,96,3.91
92,Broome,US,2020-09-15 02:42:14,42.25,-75.83,48.2,70,1,8.05
93,Pimentel,PE,2020-09-15 02:42:14,-6.84,-79.93,59.49,88,40,11.3
94,Erenhot,CN,2020-09-15 02:42:15,43.65,111.98,64.67,23,0,15.08
95,Qunduz,AF,2020-09-15 02:42:16,36.73,68.86,74.64,20,0,1.48
96,Hasaki,JP,2020-09-15 02:42:16,35.73,140.83,79.0,73,75,12.75
97,Manzhouli,CN,2020-09-15 02:39:07,49.6,117.43,60.33,39,89,11.88
98,Flin Flon,CA,2020-09-15 02:42:16,54.77,-101.86,41.59,96,100,3.04
99,Thompson,CA,2020-09-15 02:42:17,55.74,-97.86,33.8,100,75,2.24
100,San Patricio,MX,2020-09-15 02:42:17,19.22,-104.7,81.37,86,98,7.38
101,Margate,GB,2020-09-15 02:42:17,51.38,1.39,66.99,70,0,3.0
102,Haines Junction,CA,2020-09-15 02:42:18,60.75,-137.51,45.25,55,11,0.83
103,Kamaishi,JP,2020-09-15 02:42:18,39.27,141.88,75.2,73,75,3.36
104,Port Elizabeth,ZA,2020-09-15 02:42:18,-33.92,25.57,51.8,76,54,5.82
105,Cherskiy,RU,2020-09-15 02:42:19,68.75,161.3,51.6,54,23,8.28
106,Huarmey,PE,2020-09-15 02:42:19,-10.07,-78.15,60.42,85,6,7.31
107,Ostrovnoy,RU,2020-09-15 02:42:19,68.05,39.51,48.34,83,100,15.48
108,Bengkulu,ID,2020-09-15 02:39:23,-3.8,102.27,81.75,78,4,7.74
109,North Platte,US,2020-09-15 02:42:20,41.12,-100.77,68.0,59,1,8.05
110,Buala,SB,2020-09-15 02:42:20,-8.14,159.59,81.77,80,100,15.08
111,Chokurdakh,RU,2020-09-15 02:42:20,70.63,147.92,46.04,80,100,9.86
112,Kahului,US,2020-09-15 02:42:21,20.89,-156.47,86.0,58,40,19.46
113,Bombay,IN,2020-09-15 02:40:39,19.01,72.85,78.8,94,75,4.7
114,Rio Gallegos,AR,2020-09-15 02:40:23,-51.62,-69.22,39.2,69,15,31.09
115,Sao Filipe,CV,2020-09-15 02:42:22,14.9,-24.5,78.76,83,100,7.34
116,Beringovskiy,RU,2020-09-15 02:42:22,63.05,179.32,47.52,84,45,3.62
117,Barrow,US,2020-09-15 02:42:23,71.29,-156.79,39.2,93,90,11.41
118,Constitucion,CL,2020-09-15 02:40:02,-35.33,-72.42,53.06,79,0,2.17
119,Sioux Lookout,CA,2020-09-15 02:42:09,50.1,-91.92,50.0,87,90,3.36
120,Alice Springs,AU,2020-09-15 02:40:10,-23.7,133.88,78.8,26,0,13.87
121,Tsiroanomandidy,MG,2020-09-15 02:42:24,-18.77,46.03,57.36,59,3,2.71
122,Vila Do Maio,CV,2020-09-15 02:42:24,15.13,-23.22,79.86,82,51,15.41
123,Clyde River,CA,2020-09-15 02:42:24,70.47,-68.59,33.8,89,1,9.17
124,Pantai Remis,MY,2020-09-15 02:42:25,4.46,100.63,77.0,83,20,3.36
125,Ancud,CL,2020-09-15 02:42:25,-41.87,-73.82,48.99,97,100,4.0
126,Krasnyy Yar,RU,2020-09-15 02:42:25,46.53,48.35,51.8,71,0,2.24
127,Lethem,GY,2020-09-15 02:42:26,3.38,-59.8,77.9,79,75,4.56
128,Ribeira Grande,PT,2020-09-15 02:42:26,38.52,-28.7,66.61,64,100,13.6
129,Savinka,RU,2020-09-15 02:42:26,50.08,47.1,54.59,77,92,10.63
130,Chara,RU,2020-09-15 02:42:27,56.91,118.26,51.08,82,100,3.53
131,Bluff,NZ,2020-09-15 02:42:27,-46.6,168.33,42.01,88,100,8.99
132,Rocha,UY,2020-09-15 02:42:27,-34.48,-54.33,39.34,86,0,1.48
133,Ust-Kut,RU,2020-09-15 02:42:28,56.79,105.77,50.79,66,92,6.55
134,Bereda,ES,2020-09-15 02:42:28,43.27,-7.54,62.01,6,12,1.01
135,Kembe,CF,2020-09-15 02:42:28,4.62,21.89,69.93,98,100,2.26
136,Touros,BR,2020-09-15 02:42:29,-5.2,-35.46,69.8,94,40,3.36
137,Pangkalanbuun,ID,2020-09-15 02:42:29,-2.68,111.62,89.15,48,10,4.72
138,Providencia,MX,2020-09-15 02:42:29,28.72,-111.58,86.0,79,0,5.99
139,Kharan,PK,2020-09-15 02:42:30,28.58,65.42,76.69,19,52,8.41
140,Pemba,MZ,2020-09-15 02:42:30,-12.97,40.52,75.2,88,20,5.82
141,Ayagoz,KZ,2020-09-15 02:41:10,47.97,80.44,66.43,27,100,7.74
142,Nuevo Progreso,MX,2020-09-15 02:42:30,23.17,-97.95,78.01,65,79,3.0
143,Sharan,RU,2020-09-15 02:42:31,54.82,54.0,46.96,88,100,11.27
144,Cayenne,GF,2020-09-15 02:42:31,4.93,-52.33,77.0,100,13,2.24
145,Sitka,US,2020-09-15 02:42:32,57.05,-135.33,62.6,45,1,3.36
146,Avarua,CK,2020-09-15 02:42:32,-21.21,-159.78,75.2,64,43,12.75
147,Maun,BW,2020-09-15 02:42:32,-19.98,23.42,60.8,28,0,5.82
148,Nuuk,GL,2020-09-15 02:42:33,64.18,-51.72,39.2,93,100,21.92
149,Lasa,IT,2020-09-15 02:42:33,46.62,10.7,57.2,93,5,3.36
150,Teknaf,BD,2020-09-15 02:42:33,20.86,92.31,84.87,79,64,9.24
151,Tezu,IN,2020-09-15 02:42:33,27.92,96.17,78.96,84,95,0.65
152,Boguchany,RU,2020-09-15 02:42:34,58.38,97.45,57.56,68,11,3.98
153,Gondanglegi,ID,2020-09-15 02:42:34,-7.75,112.01,90.1,38,0,11.68
154,Hellvik,NO,2020-09-15 02:42:34,59.92,5.78,57.99,92,85,3.0
155,Dong Hoi,VN,2020-09-15 02:40:07,17.48,106.6,88.66,62,98,1.68
156,Arrecife,ES,2020-09-15 02:42:35,28.96,-13.55,73.4,78,100,16.11
157,Hamilton,US,2020-09-15 02:37:36,39.18,-84.53,68.0,82,1,6.93
158,Ponta Do Sol,PT,2020-09-15 02:42:35,32.67,-17.1,71.6,78,20,3.47
159,Saskylakh,RU,2020-09-15 02:42:36,71.92,114.08,54.32,52,86,1.97
160,Puerto Gaitan,CO,2020-09-15 02:42:36,4.31,-72.08,78.22,81,63,4.16
161,Cururupu,BR,2020-09-15 02:42:36,-1.83,-44.87,74.93,90,88,4.61
162,Loukhi,RU,2020-09-15 02:42:37,66.08,33.04,44.01,89,17,11.48
163,Lazaro Cardenas,MX,2020-09-15 02:42:37,17.96,-102.2,80.19,83,67,1.36
164,Sinnamary,GF,2020-09-15 02:42:37,5.38,-52.95,78.94,83,1,4.61
165,Chuy,UY,2020-09-15 02:42:38,-33.7,-53.46,43.63,81,0,4.76
166,Vila Velha,BR,2020-09-15 02:40:50,-20.33,-40.29,73.4,73,0,9.17
167,Valentin Gomez Farias,MX,2020-09-15 02:42:38,28.22,-106.58,64.0,96,93,5.99
168,Cidreira,BR,2020-09-15 02:42:38,-30.18,-50.21,51.49,62,86,3.83
169,Khatanga,RU,2020-09-15 02:42:39,71.97,102.5,53.44,66,60,4.65
170,Esperance,AU,2020-09-15 02:42:39,-33.87,121.9,69.8,56,2,10.29
171,Kuito,AO,2020-09-15 02:42:40,-12.38,16.93,55.78,51,0,2.75
172,Gashua,NG,2020-09-15 02:42:40,12.87,11.05,80.26,61,99,9.73
173,Hobart,AU,2020-09-15 02:39:07,-42.88,147.33,60.8,41,40,23.04
174,Pascagoula,US,2020-09-15 02:42:41,30.37,-88.56,82.4,69,75,13.87
175,Dalvik,IS,2020-09-15 02:42:41,65.97,-18.53,35.6,74,0,2.24
176,Manzil Salim,TN,2020-09-15 02:42:41,35.86,8.48,59.0,87,40,6.93
177,Khartoum,SD,2020-09-15 02:41:45,15.55,32.53,82.4,65,100,8.05
178,Kloulklubed,PW,2020-09-15 02:42:42,7.04,134.26,86.0,74,90,5.82
179,Villaviciosa,ES,2020-09-15 02:42:42,43.48,-5.44,68.0,79,100,1.92
180,Torbay,CA,2020-09-15 02:42:42,47.67,-52.73,62.01,87,90,20.8
181,Mocorito,MX,2020-09-15 02:42:43,25.48,-107.92,87.01,70,2,8.01
182,Saint Anthony,US,2020-09-15 02:42:43,45.02,-93.22,72.0,64,1,10.29
183,Honiara,SB,2020-09-15 02:42:43,-9.43,159.95,75.2,100,75,13.87
184,Antsohihy,MG,2020-09-15 02:42:43,-14.88,47.99,65.52,71,57,5.59
185,Victoria,HK,2020-09-15 02:37:50,22.29,114.16,84.0,92,100,8.99
186,Beidao,CN,2020-09-15 02:42:44,34.57,105.89,67.87,47,9,2.37
187,Hattingen,DE,2020-09-15 02:42:44,51.4,7.17,70.0,60,100,2.95
188,Nelson Bay,AU,2020-09-15 02:42:45,-32.72,152.15,73.99,56,40,9.17
189,Gravdal,NO,2020-09-15 02:42:45,68.12,13.5,50.63,77,98,5.61
190,Gusau,NG,2020-09-15 02:42:45,12.16,6.66,72.86,86,62,8.41
191,Vanimo,PG,2020-09-15 02:42:45,-2.67,141.3,84.06,71,100,12.95
192,San Cristobal,VE,2020-09-15 02:42:46,7.77,-72.22,67.08,82,100,2.17
193,Antalaha,MG,2020-09-15 02:42:46,-14.9,50.28,66.61,83,2,6.8
194,Kefamenanu,ID,2020-09-15 02:42:46,-9.45,124.48,85.23,38,0,14.92
195,Bonfim,BR,2020-09-15 02:42:47,3.08,-59.95,78.44,75,67,5.12
196,Bukama,CD,2020-09-15 02:42:47,-9.2,25.85,75.06,40,14,2.13
197,Port Blair,IN,2020-09-15 02:39:10,11.67,92.75,85.77,69,95,10.07
198,Villa Maria,AR,2020-09-15 02:40:19,-32.41,-63.24,44.01,50,0,1.99
199,Bathsheba,BB,2020-09-15 02:42:48,13.22,-59.52,82.4,78,20,14.99
200,Yining,CN,2020-09-15 02:42:48,29.04,114.56,68.67,93,100,1.1
201,Flinders,AU,2020-09-15 02:42:48,-34.58,150.86,72.0,68,18,4.0
202,Srandakan,ID,2020-09-15 02:42:49,-7.94,110.25,83.52,57,49,12.97
203,Karonga,MW,2020-09-15 02:42:49,-9.93,33.93,71.76,61,96,3.65
204,Montefiascone,IT,2020-09-15 02:42:49,42.54,12.04,69.01,71,98,1.01
205,Gerash,IR,2020-09-15 02:42:50,27.67,54.14,71.6,30,0,6.93
206,Isangel,VU,2020-09-15 02:42:50,-19.55,169.27,82.4,61,75,17.22
207,Port Hedland,AU,2020-09-15 02:42:50,-20.32,118.57,98.6,11,90,14.99
208,Walvis Bay,NA,2020-09-15 02:42:51,-22.96,14.51,48.99,87,0,8.05
209,Fallon,US,2020-09-15 02:42:51,39.47,-118.78,75.2,22,90,5.82
210,Kimparana,ML,2020-09-15 02:42:52,12.83,-4.92,76.24,80,25,7.72
211,Airai,TL,2020-09-15 02:42:52,-8.93,125.41,74.62,44,61,6.76
212,Amga,RU,2020-09-15 02:42:52,60.9,131.96,57.54,42,18,7.67
213,Namibe,AO,2020-09-15 02:42:53,-15.2,12.15,60.51,88,18,3.89
214,Sladkovo,RU,2020-09-15 02:42:53,55.53,70.34,55.96,79,49,6.26
215,Lakes Entrance,AU,2020-09-15 02:42:53,-37.88,147.98,64.99,52,0,7.43
216,Tautira,PF,2020-09-15 02:39:22,-17.73,-149.15,84.2,62,75,11.41
217,Mikkeli,FI,2020-09-15 02:42:54,61.69,27.27,44.6,93,96,4.7
218,Lagoa,PT,2020-09-15 02:42:54,39.05,-27.98,66.15,66,50,17.16
219,Bambous Virieux,MU,2020-09-15 02:42:55,-20.34,57.76,68.0,68,75,13.87
220,Homer,US,2020-09-15 02:42:55,59.64,-151.55,60.8,44,1,4.7
221,Yendi,GH,2020-09-15 02:42:55,9.44,-0.01,72.97,91,83,2.04
222,Portland,US,2020-09-15 02:41:09,45.52,-122.68,71.01,68,90,4.7
223,Demba,CD,2020-09-15 02:42:56,-5.51,22.27,68.72,97,3,2.06
224,Ambanja,MG,2020-09-15 02:42:56,-13.68,48.45,68.83,59,0,4.56
225,Ananindeua,BR,2020-09-15 02:42:56,-1.37,-48.37,78.8,88,82,12.75
226,Hay River,CA,2020-09-15 02:42:57,60.82,-115.8,48.2,57,75,4.7
227,Ariquemes,BR,2020-09-15 02:42:57,-9.91,-63.04,78.15,26,17,1.74
228,Abu Samrah,SY,2020-09-15 02:42:57,35.3,37.18,65.14,64,0,3.24
229,Talnakh,RU,2020-09-15 02:42:58,69.49,88.4,51.8,93,100,11.18
230,Minggang,CN,2020-09-15 02:42:58,32.46,114.05,69.62,89,100,3.06
231,Neuquen,AR,2020-09-15 02:42:58,-38.95,-68.06,48.2,61,0,7.65
232,Sunds,DK,2020-09-15 02:42:59,56.2,9.01,55.0,100,90,3.29
233,The Valley,AI,2020-09-15 02:40:53,18.22,-63.06,84.2,74,20,8.05
234,Alexandria,EG,2020-09-15 02:42:17,31.22,29.96,77.0,73,20,5.82
235,Jijiga,ET,2020-09-15 02:42:59,9.35,42.8,61.18,89,94,10.31
236,Maxixe,MZ,2020-09-15 02:43:00,-23.86,35.35,68.45,89,0,5.68
237,Astana,KZ,2020-09-15 02:39:12,51.18,71.45,57.2,54,0,15.66
238,Galle,LK,2020-09-15 02:43:00,6.04,80.22,80.65,84,98,12.48
239,Cabedelo,BR,2020-09-15 02:43:01,-6.98,-34.83,73.4,94,20,4.7
240,Ayan,RU,2020-09-15 02:43:01,56.45,138.17,59.52,74,100,5.57
241,Longyearbyen,SJ,2020-09-15 02:43:02,78.22,15.64,33.8,94,75,5.82
242,Marsa Matruh,EG,2020-09-15 02:43:02,31.35,27.25,77.0,73,13,7.25
243,Naze,JP,2020-09-15 02:43:02,28.37,129.48,86.0,83,75,6.93
244,Fortuna,US,2020-09-15 02:43:03,40.6,-124.16,66.0,88,1,6.93
245,Alta Gracia,AR,2020-09-15 02:43:03,-31.65,-64.43,55.99,29,0,14.99
246,Assiniboia,CA,2020-09-15 02:42:10,49.63,-105.98,58.96,44,96,8.55
247,Mecca,SA,2020-09-15 02:40:44,21.43,39.83,81.99,48,100,2.46
248,Yamada,JP,2020-09-15 02:43:04,39.47,141.95,67.24,85,98,2.98
249,Faya,SA,2020-09-15 02:43:04,18.39,42.45,66.2,52,25,2.08
250,Port Hardy,CA,2020-09-15 02:43:04,50.7,-127.42,59.0,87,90,3.36
251,Crotone,IT,2020-09-15 02:43:04,39.09,17.12,76.14,63,14,11.34
252,Meybod,IR,2020-09-15 02:43:05,32.25,54.02,62.6,27,0,2.24
253,Aljezur,PT,2020-09-15 02:43:05,37.32,-8.8,66.0,95,2,1.01
254,Mehamn,NO,2020-09-15 02:43:05,71.04,27.85,45.91,79,99,9.66
255,Vilcun,CL,2020-09-15 02:43:06,-38.65,-72.23,48.2,100,20,4.7
256,Elat,IL,2020-09-15 02:43:06,29.56,34.95,80.6,57,0,12.75
257,Plettenberg Bay,ZA,2020-09-15 02:43:07,-34.05,23.37,50.0,74,98,6.02
258,Inyonga,TZ,2020-09-15 02:43:07,-6.72,32.07,64.04,55,30,3.69
259,Puerto Ayora,EC,2020-09-15 02:43:07,-0.74,-90.35,66.99,90,70,5.99
260,Takoradi,GH,2020-09-15 02:43:07,4.88,-1.76,74.26,94,62,6.42
261,Puerto Colombia,CO,2020-09-15 02:43:08,10.99,-74.95,84.2,83,40,6.93
262,Thinadhoo,MV,2020-09-15 02:43:08,0.53,72.93,82.13,69,28,5.75
263,Fairbanks,US,2020-09-15 02:40:54,64.84,-147.72,51.8,76,40,3.36
264,Alofi,NU,2020-09-15 02:43:09,-19.06,-169.92,77.0,73,90,16.11
265,Shaunavon,CA,2020-09-15 02:43:09,49.65,-108.42,56.62,45,64,6.87
266,Zyryanskoye,RU,2020-09-15 02:43:09,56.83,86.63,54.05,67,72,8.39
267,San Rafael,AR,2020-09-15 02:40:34,-34.62,-68.33,56.64,34,0,9.44
268,Oktyabrskiy,RU,2020-09-15 02:43:10,54.48,53.47,46.44,88,100,11.03
269,Kingseat,GB,2020-09-15 02:43:10,56.1,-3.41,59.0,100,100,2.24
270,Brae,GB,2020-09-15 02:43:10,60.4,-1.35,53.6,100,100,3.36
271,Kenai,US,2020-09-15 02:43:11,60.55,-151.26,57.2,54,1,4.7
272,Ciudad Bolivar,VE,2020-09-15 02:43:11,8.12,-63.55,81.36,68,1,9.15
273,Zhangye,CN,2020-09-15 02:43:11,38.93,100.45,64.85,27,0,4.76
274,Borogontsy,RU,2020-09-15 02:43:12,62.67,131.17,51.13,67,90,7.96
275,Mount Isa,AU,2020-09-15 02:43:12,-20.73,139.5,87.8,19,0,14.99
276,Playa Vicente,MX,2020-09-15 02:43:12,17.83,-95.82,75.43,91,89,2.15
277,Parana,AR,2020-09-15 02:40:55,-31.73,-60.52,48.99,58,100,1.99
278,Leningradskiy,RU,2020-09-15 02:43:13,69.38,178.42,40.87,94,100,10.56
279,Burnie,AU,2020-09-15 02:38:17,-41.07,145.92,54.97,68,99,12.84
280,Parsons,US,2020-09-15 02:43:13,37.34,-95.26,69.8,82,1,3.36
281,Dickinson,US,2020-09-15 02:43:14,29.46,-95.05,86.0,66,40,11.41
282,Coahuayana,MX,2020-09-15 02:43:14,18.73,-103.68,77.0,83,75,0.54
283,Salamiyah,SY,2020-09-15 02:43:14,35.01,37.05,64.38,73,0,3.22
284,Puerto Rico,AR,2020-09-15 02:43:15,-26.8,-55.02,60.39,72,100,3.13
285,Mizan Teferi,ET,2020-09-15 02:43:15,6.98,35.58,62.15,79,56,2.33
286,Lewistown,US,2020-09-15 02:43:15,40.6,-77.57,57.2,67,1,9.17
